,SID,CID,date,attendance
0,1,2,2019-04-07,absent
1,1,2,2019-04-14,attended
2,1,2,2019-04-21,attended
3,1,2,2019-04-28,attended
4,1,2,2019-05-05,attended
5,1,2,2019-05-12,attended
6,1,2,2019-05-19,attended
7,1,2,2019-05-26,attended
8,1,2,2019-06-02,excused
9,1,2,2019-06-09,attended
10,1,2,2019-06-16,attended
11,1,2,2019-06-23,attended
12,1,2,2019-06-30,attended
13,1,2,2019-07-07,attended
14,1,2,2019-07-14,attended
15,1,2,2019-07-21,excused
16,1,2,2019-07-28,attended
17,1,2,2019-08-04,excused
18,1,2,2019-08-11,attended
19,1,2,2019-08-18,attended
20,1,2,2019-08-25,attended
21,1,2,2019-09-01,attended
22,1,2,2019-09-08,attended
23,1,2,2019-09-15,attended
24,1,2,2019-09-22,excused
25,1,2,2019-09-29,attended
26,1,2,2019-10-06,attended
27,1,2,2019-10-13,excused
28,1,2,2019-10-20,attended
29,1,2,2019-10-27,attended
30,1,2,2019-11-03,absent
31,1,2,2019-11-10,attended
32,1,2,2019-11-17,attended
33,1,2,2019-11-24,attended
34,1,2,2019-12-01,excused
35,1,2,2019-12-08,excused
36,1,2,2019-12-15,attended
37,1,2,2019-12-22,attended
38,1,2,2019-12-29,attended
39,2,6,2018-01-06,attended
40,2,6,2018-01-13,absent
41,2,6,2018-01-20,attended
42,2,6,2018-01-27,attended
43,2,6,2018-02-03,attended
44,2,6,2018-02-10,attended
45,2,6,2018-02-17,attended
46,2,6,2018-02-24,attended
47,2,6,2018-03-03,attended
48,2,6,2018-03-10,excused
49,2,6,2018-03-17,excused
50,2,6,2018-03-24,attended
51,2,6,2018-03-31,attended
52,2,6,2018-04-07,attended
53,2,6,2018-04-14,excused
54,2,6,2018-04-21,attended
55,2,6,2018-04-28,attended
56,2,6,2018-05-05,excused
57,2,6,2018-05-12,attended
58,2,6,2018-05-19,attended
59,2,6,2018-05-26,attended
60,2,6,2018-06-02,attended
61,2,6,2018-06-09,absent
62,2,6,2018-06-16,absent
63,2,6,2018-06-23,attended
64,2,6,2018-06-30,attended
65,2,6,2018-07-07,attended
66,2,6,2018-07-14,attended
67,2,6,2018-07-21,attended
68,2,6,2018-07-28,attended
69,2,6,2018-08-04,attended
70,2,6,2018-08-11,attended
71,2,6,2018-08-18,absent
72,2,6,2018-08-25,attended
73,2,6,2018-09-01,attended
74,2,6,2018-09-08,attended
75,2,6,2018-09-15,attended
76,2,6,2018-09-22,attended
77,2,6,2018-09-29,excused
78,2,6,2018-10-06,attended
79,2,6,2018-10-13,attended
80,2,6,2018-10-20,attended
81,2,6,2018-10-27,attended
82,2,6,2018-11-03,excused
83,2,6,2018-11-10,attended
84,2,6,2018-11-17,excused
85,2,6,2018-11-24,attended
86,2,6,2018-12-01,absent
87,2,6,2018-12-08,attended
88,2,6,2018-12-15,absent
89,2,6,2018-12-22,attended
90,2,6,2018-12-29,excused
91,2,6,2019-01-05,absent
92,2,6,2019-01-12,attended
93,2,6,2019-01-19,attended
94,2,6,2019-01-26,attended
95,2,6,2019-02-02,attended
96,2,6,2019-02-09,attended
97,2,6,2019-02-16,excused
98,2,6,2019-02-23,attended
99,2,6,2019-03-02,attended
100,2,6,2019-03-09,attended
101,2,6,2019-03-16,attended
102,2,6,2019-03-23,excused
103,2,6,2019-03-30,absent
104,2,6,2019-04-06,attended
105,2,6,2019-04-13,attended
106,2,6,2019-04-20,attended
107,2,6,2019-04-27,excused
108,2,6,2019-05-04,attended
109,2,6,2019-05-11,attended
110,2,6,2019-05-18,attended
111,2,6,2019-05-25,attended
112,2,6,2019-06-01,attended
113,2,6,2019-06-08,attended
114,2,6,2019-06-15,attended
115,2,6,2019-06-22,attended
116,2,6,2019-06-29,excused
117,2,6,2019-07-06,attended
118,2,6,2019-07-13,absent
119,2,6,2019-07-20,attended
120,2,6,2019-07-27,attended
121,2,6,2019-08-03,attended
122,2,6,2019-08-10,attended
123,2,6,2019-08-17,attended
124,2,6,2019-08-24,attended
125,2,6,2019-08-31,attended
126,2,6,2019-09-07,attended
127,2,6,2019-09-14,absent
128,2,6,2019-09-21,absent
129,2,6,2019-09-28,attended
130,2,6,2019-10-05,attended
131,2,6,2019-10-12,attended
132,2,6,2019-10-19,attended
133,2,6,2019-10-26,attended
134,2,6,2019-11-02,attended
135,2,6,2019-11-09,attended
136,2,6,2019-11-16,attended
137,2,6,2019-11-23,attended
138,2,6,2019-11-30,attended
139,2,6,2019-12-07,attended
140,2,6,2019-12-14,attended
141,2,6,2019-12-21,attended
142,2,6,2019-12-28,attended
143,3,4,2018-02-10,attended
144,3,4,2018-02-17,attended
145,3,4,2018-02-24,excused
146,3,4,2018-03-03,attended
147,3,4,2018-03-10,attended
148,3,4,2018-03-17,absent
149,3,4,2018-03-24,attended
150,3,4,2018-03-31,attended
151,3,4,2018-04-07,attended
152,3,4,2018-04-14,attended
